Escritório de vendas|Fornecedor|Material|Data|Val.líq.
109|CLARO|131317             RECARGA VIRTUAL CLARO R$ 1,00|05.01.2020|20.0
109|CLARO|131317             RECARGA VIRTUAL CLARO R$ 1,00|04.01.2020|20.0
109|CLARO|131317             RECARGA VIRTUAL CLARO R$ 1,00|04.01.2020|15.0
109|CLARO|131317             RECARGA VIRTUAL CLARO R$ 1,00|30.12.2019|15.0
109|CLARO|131317             RECARGA VIRTUAL CLARO R$ 1,00|03.01.2020|43.0
109|CLARO|131317             RECARGA VIRTUAL CLARO R$ 1,00|03.01.2020|20.0
109|CLARO|131317             RECARGA VIRTUAL CLARO R$ 1,00|31.12.2019|40.0
109|CLARO|131317             RECARGA VIRTUAL CLARO R$ 1,00|30.12.2019|30.0
109|CLARO|131317             RECARGA VIRTUAL CLARO R$ 1,00|03.01.2020|20.0
109|CLARO|131317             RECARGA VIRTUAL CLARO R$ 1,00|04.01.2020|20.0
109|CLARO|131317             RECARGA VIRTUAL CLARO R$ 1,00|03.01.2020|10.0
109|CLARO|131317             RECARGA VIRTUAL CLARO R$ 1,00|05.01.2020|20.0
109|CLARO|131317             RECARGA VIRTUAL CLARO R$ 1,00|05.01.2020|30.0
109|CLARO|131317             RECARGA VIRTUAL CLARO R$ 1,00|03.01.2020|20.0
109|CLARO|131317             RECARGA VIRTUAL CLARO R$ 1,00|05.01.2020|20.0
109|CLARO|131317             RECARGA VIRTUAL CLARO R$ 1,00|03.01.2020|20.0
109|CLARO|131317             RECARGA VIRTUAL CLARO R$ 1,00|04.01.2020|13.0
109|CLARO|131317             RECARGA VIRTUAL CLARO R$ 1,00|02.01.2020|15.0
109|CLARO|131317             RECARGA VIRTUAL CLARO R$ 1,00|02.01.2020|15.0
109|CLARO|131317             RECARGA VIRTUAL CLARO R$ 1,00|05.01.2020|10.0
109|CLARO|131317             RECARGA VIRTUAL CLARO R$ 1,00|05.01.2020|20.0
109|CLARO|131317             RECARGA VIRTUAL CLARO R$ 1,00|03.01.2020|15.0
109|CLARO|131317             RECARGA VIRTUAL CLARO R$ 1,00|03.01.2020|20.0
109|CLARO|131317             RECARGA VIRTUAL CLARO R$ 1,00|03.01.2020|60.0
109|CLARO|131317             RECARGA VIRTUAL CLARO R$ 1,00|31.12.2019|20.0
109|CLARO|131317             RECARGA VIRTUAL CLARO R$ 1,00|05.01.2020|20.0
109|CLARO|131317             RECARGA VIRTUAL CLARO R$ 1,00|31.12.2019|10.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|03.01.2020|45.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|05.01.2020|12.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|30.12.2019|44.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|30.12.2019|25.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|02.01.2020|10.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|05.01.2020|25.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|02.01.2020|12.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|31.12.2019|45.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|02.01.2020|25.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|05.01.2020|30.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|31.12.2019|24.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|02.01.2020|10.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|31.12.2019|10.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|30.12.2019|15.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|02.01.2020|20.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|31.12.2019|20.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|03.01.2020|50.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|03.01.2020|30.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|05.01.2020|15.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|30.12.2019|20.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|30.12.2019|89.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|31.12.2019|75.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|02.01.2020|187.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|03.01.2020|95.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|04.01.2020|105.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|05.01.2020|25.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|04.01.2020|20.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|31.12.2019|20.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|03.01.2020|100.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|04.01.2020|10.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|30.12.2019|25.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|03.01.2020|40.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|30.12.2019|20.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|02.01.2020|15.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|05.01.2020|15.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|03.01.2020|20.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|31.12.2019|12.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|03.01.2020|20.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|31.12.2019|30.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|30.12.2019|20.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|05.01.2020|10.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|04.01.2020|27.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|31.12.2019|15.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|02.01.2020|15.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|02.01.2020|19.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|04.01.2020|15.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|30.12.2019|15.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|02.01.2020|35.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|03.01.2020|20.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|04.01.2020|15.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|30.12.2019|20.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|31.12.2019|30.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|30.12.2019|15.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|03.01.2020|15.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|04.01.2020|15.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|05.01.2020|15.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|04.01.2020|15.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|05.01.2020|20.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|30.12.2019|15.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|30.12.2019|25.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|30.12.2019|10.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|02.01.2020|15.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|02.01.2020|35.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|03.01.2020|15.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|30.12.2019|45.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|02.01.2020|20.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|02.01.2020|15.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|04.01.2020|15.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|05.01.2020|15.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|31.12.2019|10.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|05.01.2020|24.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|05.01.2020|15.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|02.01.2020|10.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|03.01.2020|24.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|30.12.2019|12.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|02.01.2020|20.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|03.01.2020|20.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|03.01.2020|12.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|04.01.2020|15.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|05.01.2020|25.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|02.01.2020|10.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|30.12.2019|15.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|02.01.2020|30.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|03.01.2020|15.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|03.01.2020|40.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|02.01.2020|10.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|30.12.2019|24.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|04.01.2020|45.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|04.01.2020|50.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|02.01.2020|35.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|03.01.2020|10.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|02.01.2020|25.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|03.01.2020|15.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|05.01.2020|20.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|05.01.2020|12.0
114|VIVO|131318             RECARGA VIRTUAL VIVO R$ 1,00|02.01.2020|15.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|05.01.2020|30.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|03.01.2020|20.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|05.01.2020|15.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|02.01.2020|30.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|02.01.2020|15.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|05.01.2020|145.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|05.01.2020|45.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|02.01.2020|10.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|05.01.2020|10.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|03.01.2020|30.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|04.01.2020|15.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|02.01.2020|15.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|03.01.2020|30.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|05.01.2020|45.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|02.01.2020|15.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|03.01.2020|15.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|05.01.2020|35.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|30.12.2019|20.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|02.01.2020|65.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|03.01.2020|55.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|04.01.2020|70.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|05.01.2020|35.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|04.01.2020|20.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|04.01.2020|15.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|04.01.2020|15.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|05.01.2020|30.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|03.01.2020|15.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|02.01.2020|15.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|30.12.2019|20.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|30.12.2019|45.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|31.12.2019|15.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|31.12.2019|15.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|03.01.2020|15.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|30.12.2019|35.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|31.12.2019|15.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|31.12.2019|15.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|30.12.2019|15.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|03.01.2020|20.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|30.12.2019|30.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|30.12.2019|15.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|30.12.2019|15.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|03.01.2020|15.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|02.01.2020|45.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|31.12.2019|15.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|30.12.2019|15.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|04.01.2020|30.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|04.01.2020|40.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|04.01.2020|20.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|03.01.2020|15.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|02.01.2020|15.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|03.01.2020|15.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|03.01.2020|15.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|04.01.2020|15.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|31.12.2019|20.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|04.01.2020|30.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|03.01.2020|15.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|04.01.2020|25.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|02.01.2020|40.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|02.01.2020|15.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|30.12.2019|20.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|30.12.2019|20.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|02.01.2020|15.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|04.01.2020|30.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|02.01.2020|35.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|02.01.2020|25.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|05.01.2020|15.0
114|TNL|131316             RECARGA VIRTUAL OI R$ 1,00|05.01.2020|15.0
114|TIM|177914             RECARGA VIRTUAL TIM R$ 1,00|04.01.2020|20.0
114|TIM|177914             RECARGA VIRTUAL TIM R$ 1,00|04.01.2020|15.0
114|TIM|177914             RECARGA VIRTUAL TIM R$ 1,00|05.01.2020|20.0
114|TIM|177914             RECARGA VIRTUAL TIM R$ 1,00|31.12.2019|10.0
114|TIM|177914             RECARGA VIRTUAL TIM R$ 1,00|02.01.2020|20.0
114|TIM|177914             RECARGA VIRTUAL TIM R$ 1,00|04.01.2020|15.0
114|TIM|177914             RECARGA VIRTUAL TIM R$ 1,00|02.01.2020|15.0
114|TIM|177914             RECARGA VIRTUAL TIM R$ 1,00|31.12.2019|15.0
114|TIM|177914             RECARGA VIRTUAL TIM R$ 1,00|04.01.2020|20.0
114|TIM|177914             RECARGA VIRTUAL TIM R$ 1,00|03.01.2020|15.0
114|TIM|177914             RECARGA VIRTUAL TIM R$ 1,00|03.01.2020|45.0
114|TIM|177914             RECARGA VIRTUAL TIM R$ 1,00|30.12.2019|10.0
114|TIM|177914             RECARGA VIRTUAL TIM R$ 1,00|31.12.2019|20.0
114|TIM|177914             RECARGA VIRTUAL TIM R$ 1,00|05.01.2020|10.0
114|TIM|177914             RECARGA VIRTUAL TIM R$ 1,00|03.01.2020|50.0
114|TIM|177914             RECARGA VIRTUAL TIM R$ 1,00|30.12.2019|20.0
114|TIM|177914             RECARGA VIRTUAL TIM R$ 1,00|04.01.2020|10.0
114|TIM|177914             RECARGA VIRTUAL TIM R$ 1,00|05.01.2020|10.0
114|TIM|177914             RECARGA VIRTUAL TIM R$ 1,00|30.12.2019|40.0
114|TIM|177914             RECARGA VIRTUAL TIM R$ 1,00|05.01.2020|60.0
114|TIM|177914             RECARGA VIRTUAL TIM R$ 1,00|02.01.2020|30.0
114|TIM|177914             RECARGA VIRTUAL TIM R$ 1,00|02.01.2020|40.0
114|TIM|177914             RECARGA VIRTUAL TIM R$ 1,00|02.01.2020|80.0
114|TIM|177914             RECARGA VIRTUAL TIM R$ 1,00|03.01.2020|125.0
114|TIM|177914             RECARGA VIRTUAL TIM R$ 1,00|03.01.2020|60.0
114|TIM|177914             RECARGA VIRTUAL TIM R$ 1,00|02.01.2020|60.0
114|TIM|177914             RECARGA VIRTUAL TIM R$ 1,00|03.01.2020|10.0
114|TIM|177914             RECARGA VIRTUAL TIM R$ 1,00|04.01.2020|20.0
114|CLARO|131317             RECARGA VIRTUAL CLARO R$ 1,00|02.01.2020|20.0
114|CLARO|131317             RECARGA VIRTUAL CLARO R$ 1,00|05.01.2020|10.0
114|CLARO|131317             RECARGA VIRTUAL CLARO R$ 1,00|02.01.2020|10.0
114|CLARO|131317             RECARGA VIRTUAL CLARO R$ 1,00|05.01.2020|10.0
114|CLARO|131317             RECARGA VIRTUAL CLARO R$ 1,00|02.01.2020|15.0
114|CLARO|131317             RECARGA VIRTUAL CLARO R$ 1,00|31.12.2019|35.0
114|CLARO|131317             RECARGA VIRTUAL CLARO R$ 1,00|05.01.2020|25.0
114|CLARO|131317             RECARGA VIRTUAL CLARO R$ 1,00|30.12.2019|25.0
114|CLARO|131317             RECARGA VIRTUAL CLARO R$ 1,00|31.12.2019|90.0
114|CLARO|131317             RECARGA VIRTUAL CLARO R$ 1,00|03.01.2020|25.0
114|CLARO|131317             RECARGA VIRTUAL CLARO R$ 1,00|04.01.2020|40.0
114|CLARO|131317             RECARGA VIRTUAL CLARO R$ 1,00|02.01.2020|15.0
114|CLARO|131317             RECARGA VIRTUAL CLARO R$ 1,00|04.01.2020|20.0
114|CLARO|131317             RECARGA VIRTUAL CLARO R$ 1,00|31.12.2019|20.0
114|CLARO|131317             RECARGA VIRTUAL CLARO R$ 1,00|30.12.2019|25.0
114|CLARO|131317             RECARGA VIRTUAL CLARO R$ 1,00|03.01.2020|20.0
114|CLARO|131317             RECARGA VIRTUAL CLARO R$ 1,00|30.12.2019|15.0
114|CLARO|131317             RECARGA VIRTUAL CLARO R$ 1,00|02.01.2020|20.0
114|CLARO|131317             RECARGA VIRTUAL CLARO R$ 1,00|02.01.2020|15.0
114|CLARO|131317             RECARGA VIRTUAL CLARO R$ 1,00|05.01.2020|20.0
114|CLARO|131317             RECARGA VIRTUAL CLARO R$ 1,00|30.12.2019|20.0
114|CLARO|131317             RECARGA VIRTUAL CLARO R$ 1,00|04.01.2020|35.0
114|CLARO|131317             RECARGA VIRTUAL CLARO R$ 1,00|31.12.2019|20.0
114|CLARO|131317             RECARGA VIRTUAL CLARO R$ 1,00|03.01.2020|20.0
114|CLARO|131317             RECARGA VIRTUAL CLARO R$ 1,00|04.01.2020|20.0
114|CLARO|131317             RECARGA VIRTUAL CLARO R$ 1,00|03.01.2020|15.0
114|CLARO|131317             RECARGA VIRTUAL CLARO R$ 1,00|31.12.2019|20.0
